SPEC;LONG;LAT
Hypopyrrhus pyrohypogaster;-75.425955;6.153857
Hypopyrrhus pyrohypogaster;-75.665711;6.207105
Hypopyrrhus pyrohypogaster;-75.762659;6.231071
Hypopyrrhus pyrohypogaster;-75.754237;6.015666
Hypopyrrhus pyrohypogaster;-75.031028;5.442389
Hypopyrrhus pyrohypogaster;-75.084778;5.452
Hypopyrrhus pyrohypogaster;-75.124447;5.485111
Hypopyrrhus pyrohypogaster;-75.060361;5.522167
Hypopyrrhus pyrohypogaster;-75.061333;5.529806
Hypopyrrhus pyrohypogaster;-75.053778;5.519472
Hypopyrrhus pyrohypogaster;-75.025556;5.500556
Hypopyrrhus pyrohypogaster;-75.062083;5.523028
Hypopyrrhus pyrohypogaster;-75.66967;2.98183
Hypopyrrhus pyrohypogaster;-75.498916;6.216449
Hypopyrrhus pyrohypogaster;-75.554043;6.04734
Hypopyrrhus pyrohypogaster;-75.478092;6.170523
Hypopyrrhus pyrohypogaster;-75.56536;6.067545
Hypopyrrhus pyrohypogaster;-75.843859;5.536191
Hypopyrrhus pyrohypogaster;-75.425213;6.037302
Hypopyrrhus pyrohypogaster;-75.217597;6.006579
Hypopyrrhus pyrohypogaster;-75.219486;6.196534
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.632645;6.207498
Hypopyrrhus pyrohypogaster;-76.022536;5.19047
Hypopyrrhus pyrohypogaster;-75.147765;7.072874
Hypopyrrhus pyrohypogaster;-75.112168;6.984203
Hypopyrrhus pyrohypogaster;-76.182628;5.852333
Hypopyrrhus pyrohypogaster;-76.743557;1.068444
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-76.08515;5.237097
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.601321;6.127467
Hypopyrrhus pyrohypogaster;-76.172676;5.820613
Hypopyrrhus pyrohypogaster;-75.601321;6.127467
Hypopyrrhus pyrohypogaster;-75.602118;6.132164
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.816232;5.594214
Hypopyrrhus pyrohypogaster;-76.652041;1.137653
Hypopyrrhus pyrohypogaster;-75.532113;6.241591
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-76.039424;5.171473
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-75.111389;6.984722
Hypopyrrhus pyrohypogaster;-75.614082;6.12579
Hypopyrrhus pyrohypogaster;-74.856956;5.901181
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-76.743557;1.068444
Hypopyrrhus pyrohypogaster;-75.072;5.483833
Hypopyrrhus pyrohypogaster;-75.74476;5.670036
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-75.987714;5.094161
Hypopyrrhus pyrohypogaster;-75.049722;6.965278
Hypopyrrhus pyrohypogaster;-76.230429;1.670222
Hypopyrrhus pyrohypogaster;-75.987714;5.094161
Hypopyrrhus pyrohypogaster;-75.121717;5.465184
Hypopyrrhus pyrohypogaster;-75.796394;5.540121
Hypopyrrhus pyrohypogaster;-76.172676;5.820613
Hypopyrrhus pyrohypogaster;-75.884585;5.504589
Hypopyrrhus pyrohypogaster;-75.675719;6.173469
Hypopyrrhus pyrohypogaster;-76.172676;5.820613
Hypopyrrhus pyrohypogaster;-76.743557;1.068444
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-76.08515;5.237097
Hypopyrrhus pyrohypogaster;-76.18155;5.80666
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.56864;6.138488
Hypopyrrhus pyrohypogaster;-76.109057;1.60986
Hypopyrrhus pyrohypogaster;-76.022536;5.19047
Hypopyrrhus pyrohypogaster;-75.105533;6.981231
Hypopyrrhus pyrohypogaster;-76.743557;1.068444
Hypopyrrhus pyrohypogaster;-75.613167;6.050089
Hypopyrrhus pyrohypogaster;-75.655071;1.725381
Hypopyrrhus pyrohypogaster;-75.542786;6.116254
Hypopyrrhus pyrohypogaster;-75.519156;6.050301
Hypopyrrhus pyrohypogaster;-75.571315;6.200693
Hypopyrrhus pyrohypogaster;-75.602118;6.132164
Hypopyrrhus pyrohypogaster;-75.862413;5.518644
Hypopyrrhus pyrohypogaster;-76.096292;5.243187
Hypopyrrhus pyrohypogaster;-75.672619;6.087653
Hypopyrrhus pyrohypogaster;-76.172676;5.820613
Hypopyrrhus pyrohypogaster;-75.850478;5.505138
Hypopyrrhus pyrohypogaster;-75.571046;6.138528
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.75508;5.65072
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.672619;6.087653
Hypopyrrhus pyrohypogaster;-75.59746;6.119929
Hypopyrrhus pyrohypogaster;-75.816232;5.594214
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-75.2233;5.798033
Hypopyrrhus pyrohypogaster;-75.601321;6.127467
Hypopyrrhus pyrohypogaster;-76.16124;5.965903
Hypopyrrhus pyrohypogaster;-75.619385;6.046707
Hypopyrrhus pyrohypogaster;-76.198769;6.703651
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-76.198769;6.703651
Hypopyrrhus pyrohypogaster;-75.664771;6.252072
Hypopyrrhus pyrohypogaster;-75.54372;6.180561
Hypopyrrhus pyrohypogaster;-75.597498;6.028931
Hypopyrrhus pyrohypogaster;-75.777443;5.580479
Hypopyrrhus pyrohypogaster;-75.513625;2.147496
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.601648;6.12959
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.56864;6.138488
Hypopyrrhus pyrohypogaster;-75.111565;6.984807
Hypopyrrhus pyrohypogaster;-75.56864;6.138488
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.531967;6.239317
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-75.41113;7.023494
Hypopyrrhus pyrohypogaster;-75.901236;5.203527
Hypopyrrhus pyrohypogaster;-76.727015;1.074698
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.619385;6.046707
Hypopyrrhus pyrohypogaster;-75.112168;6.984203
Hypopyrrhus pyrohypogaster;-75.619385;6.046707
Hypopyrrhus pyrohypogaster;-75.816232;5.594214
Hypopyrrhus pyrohypogaster;-76.652041;1.137653
Hypopyrrhus pyrohypogaster;-75.597458;6.119929
Hypopyrrhus pyrohypogaster;-75.571046;6.138528
Hypopyrrhus pyrohypogaster;-76.007821;6.662451
Hypopyrrhus pyrohypogaster;-76.109347;1.66217
Hypopyrrhus pyrohypogaster;-75.538133;6.177581
Hypopyrrhus pyrohypogaster;-75.637543;6.159628
Hypopyrrhus pyrohypogaster;-76.172676;5.820613
Hypopyrrhus pyrohypogaster;-76.073345;5.836262
Hypopyrrhus pyrohypogaster;-76.172676;5.820613
Hypopyrrhus pyrohypogaster;-75.532113;6.241591
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.597003;6.120652
Hypopyrrhus pyrohypogaster;-76.230429;1.670222
Hypopyrrhus pyrohypogaster;-75.221178;6.062763
Hypopyrrhus pyrohypogaster;-76.73683;1.080926
Hypopyrrhus pyrohypogaster;-75.535721;6.24344
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.619385;6.046707
Hypopyrrhus pyrohypogaster;-75.118814;5.470304
Hypopyrrhus pyrohypogaster;-75.540385;6.120983
Hypopyrrhus pyrohypogaster;-76.172676;5.820613
Hypopyrrhus pyrohypogaster;-75.839831;5.791702
Hypopyrrhus pyrohypogaster;-75.598193;6.029955
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-75.044572;5.434647
Hypopyrrhus pyrohypogaster;-75.449666;5.931667
Hypopyrrhus pyrohypogaster;-76.172676;5.820613
Hypopyrrhus pyrohypogaster;-76.002098;5.125525
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.663961;1.721583
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-76.743557;1.068444
Hypopyrrhus pyrohypogaster;-75.618745;6.041614
Hypopyrrhus pyrohypogaster;-75.666606;1.818227
Hypopyrrhus pyrohypogaster;-75.682494;6.102711
Hypopyrrhus pyrohypogaster;-75.682494;6.102711
Hypopyrrhus pyrohypogaster;-75.619385;6.046707
Hypopyrrhus pyrohypogaster;-75.160307;6.231867
Hypopyrrhus pyrohypogaster;-76.109057;1.60986
Hypopyrrhus pyrohypogaster;-75.672619;6.087653
Hypopyrrhus pyrohypogaster;-76.230429;1.670222
Hypopyrrhus pyrohypogaster;-75.435073;6.021927
Hypopyrrhus pyrohypogaster;-75.862413;5.518644
Hypopyrrhus pyrohypogaster;-76.08515;5.237097
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-76.172676;5.820613
Hypopyrrhus pyrohypogaster;-75.102282;6.120234
Hypopyrrhus pyrohypogaster;-75.628509;6.053161
Hypopyrrhus pyrohypogaster;-75.663347;6.268081
Hypopyrrhus pyrohypogaster;-76.18155;5.80666
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.571046;6.138528
Hypopyrrhus pyrohypogaster;-75.600762;6.125562
Hypopyrrhus pyrohypogaster;-75.666606;1.818227
Hypopyrrhus pyrohypogaster;-75.827622;5.600483
Hypopyrrhus pyrohypogaster;-75.794822;5.584741
Hypopyrrhus pyrohypogaster;-75.602118;6.132164
Hypopyrrhus pyrohypogaster;-75.16892;5.374674
Hypopyrrhus pyrohypogaster;-75.368092;6.541634
Hypopyrrhus pyrohypogaster;-75.538873;6.24718
Hypopyrrhus pyrohypogaster;-75.597456;6.119929
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.624942;6.216216
Hypopyrrhus pyrohypogaster;-75.187237;6.143074
Hypopyrrhus pyrohypogaster;-76.727015;1.074698
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.604841;6.134707
Hypopyrrhus pyrohypogaster;-76.727015;1.074698
Hypopyrrhus pyrohypogaster;-75.600513;6.126986
Hypopyrrhus pyrohypogaster;-75.623217;6.059867
Hypopyrrhus pyrohypogaster;-75.595077;6.029108
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-75.74476;5.670036
Hypopyrrhus pyrohypogaster;-75.519156;6.050301
Hypopyrrhus pyrohypogaster;-75.612717;6.12475
Hypopyrrhus pyrohypogaster;-76.074705;5.79877
Hypopyrrhus pyrohypogaster;-75.619385;6.046707
Hypopyrrhus pyrohypogaster;-76.182628;5.852333
Hypopyrrhus pyrohypogaster;-75.173217;5.377865
Hypopyrrhus pyrohypogaster;-75.619385;6.046707
Hypopyrrhus pyrohypogaster;-75.538446;6.250476
Hypopyrrhus pyrohypogaster;-75.656147;6.143456
Hypopyrrhus pyrohypogaster;-75.59746;6.119929
Hypopyrrhus pyrohypogaster;-76.181477;5.806239
Hypopyrrhus pyrohypogaster;-75.569372;6.145689
Hypopyrrhus pyrohypogaster;-75.816232;5.594214
Hypopyrrhus pyrohypogaster;-75.571046;6.138528
Hypopyrrhus pyrohypogaster;-75.12022;6.988775
Hypopyrrhus pyrohypogaster;-75.121757;5.465152
Hypopyrrhus pyrohypogaster;-75.666606;1.818227
Hypopyrrhus pyrohypogaster;-75.646535;6.135519
Hypopyrrhus pyrohypogaster;-75.597166;6.021085
Hypopyrrhus pyrohypogaster;-76.075726;5.217181
Hypopyrrhus pyrohypogaster;-76.075726;5.217181
Hypopyrrhus pyrohypogaster;-75.901236;5.203527
Hypopyrrhus pyrohypogaster;-76.080023;5.222711
